pair_index,mol_a_idx,mol_b_idx,input_line_a,input_line_b,input_smiles_a,input_smiles_b,smiles_a,smiles_b,atoms_a,bonds_a,atoms_b,bonds_b,nvmolkit_time_ms,rdkit_time_ms,nvmolkit_atoms,nvmolkit_bonds,rdkit_atoms,rdkit_bonds,rdkit_completed,nvmolkit_canceled,nvmolkit_overflowed,nvmolkit_used_gpu,nvmolkit_used_fallback,a_atoms,a_bonds,a_rotatable_bonds,a_hetero_atoms,a_carbon_atoms,a_carbon_fraction,a_hetero_fraction,a_longest_acyclic_carbon_chain,a_logp,a_tpsa,a_rings,a_aromatic_rings,a_aliphatic_rings,a_ring_atoms,a_ring_bonds,a_largest_ring,a_fused_ring_atoms,b_atoms,b_bonds,b_rotatable_bonds,b_hetero_atoms,b_carbon_atoms,b_carbon_fraction,b_hetero_fraction,b_longest_acyclic_carbon_chain,b_logp,b_tpsa,b_rings,b_aromatic_rings,b_aliphatic_rings,b_ring_atoms,b_ring_bonds,b_largest_ring,b_fused_ring_atoms,pair_min_atoms,pair_max_atoms,pair_avg_atoms,pair_absdiff_atoms,pair_min_bonds,pair_max_bonds,pair_avg_bonds,pair_absdiff_bonds,pair_min_rotatable_bonds,pair_max_rotatable_bonds,pair_avg_rotatable_bonds,pair_absdiff_rotatable_bonds,pair_min_hetero_atoms,pair_max_hetero_atoms,pair_avg_hetero_atoms,pair_absdiff_hetero_atoms,pair_min_carbon_atoms,pair_max_carbon_atoms,pair_avg_carbon_atoms,pair_absdiff_carbon_atoms,pair_min_carbon_fraction,pair_max_carbon_fraction,pair_avg_carbon_fraction,pair_absdiff_carbon_fraction,pair_min_hetero_fraction,pair_max_hetero_fraction,pair_avg_hetero_fraction,pair_absdiff_hetero_fraction,pair_min_longest_acyclic_carbon_chain,pair_max_longest_acyclic_carbon_chain,pair_avg_longest_acyclic_carbon_chain,pair_absdiff_longest_acyclic_carbon_chain,pair_min_logp,pair_max_logp,pair_avg_logp,pair_absdiff_logp,pair_min_tpsa,pair_max_tpsa,pair_avg_tpsa,pair_absdiff_tpsa,pair_min_rings,pair_max_rings,pair_avg_rings,pair_absdiff_rings,pair_min_aromatic_rings,pair_max_aromatic_rings,pair_avg_aromatic_rings,pair_absdiff_aromatic_rings,pair_min_aliphatic_rings,pair_max_aliphatic_rings,pair_avg_aliphatic_rings,pair_absdiff_aliphatic_rings,pair_min_ring_atoms,pair_max_ring_atoms,pair_avg_ring_atoms,pair_absdiff_ring_atoms,pair_min_ring_bonds,pair_max_ring_bonds,pair_avg_ring_bonds,pair_absdiff_ring_bonds,pair_min_largest_ring,pair_max_largest_ring,pair_avg_largest_ring,pair_absdiff_largest_ring,pair_min_fused_ring_atoms,pair_max_fused_ring_atoms,pair_avg_fused_ring_atoms,pair_absdiff_fused_ring_atoms,log_nvmolkit_time_ms,log_rdkit_time_ms,time_ratio_nv_over_rdkit,log_time_ratio_nv_over_rdkit,mcs_atoms,mcs_bonds,mcs_atom_fraction_small,mcs_bond_fraction_small
0,654,114,5240309,5937853,CC1=C(NC(=O)CC2CCN(C(=O)OC(C)(C)C)C2)C=CC=C1S(N)(=O)=O,CCN1N=CC(C)=C1C(=O)NCC(C)CN(C)C(=O)C1=CSC(C(C)=O)=N1,Cc1c(NC(=O)CC2CCN(C(=O)OC(C)(C)C)C2)cccc1S(N)(=O)=O,CCn1ncc(C)c1C(=O)NCC(C)CN(C)C(=O)c1csc(C(C)=O)n1,27,28,27,28,36.957291,5.576051,12,11,12,11,1,0,0,1,0,27.0,28.0,4.0,9.0,18.0,0.6666666666666666,0.3333333333333333,3.0,2.22802,118.79999999999998,2.0,1.0,1.0,11.0,11.0,6.0,0.0,27.0,28.0,8.0,9.0,18.0,0.6666666666666666,0.3333333333333333,3.0,2.00862,97.19000000000001,2.0,2.0,0.0,10.0,10.0,5.0,0.0,27.0,27.0,27.0,0.0,28.0,28.0,28.0,0.0,4.0,8.0,6.0,4.0,9.0,9.0,9.0,0.0,18.0,18.0,18.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3.0,3.0,3.0,0.0,2.00862,2.22802,2.1183199999999998,0.21939999999999982,97.19000000000001,118.79999999999998,107.995,21.60999999999997,2.0,2.0,2.0,0.0,1.0,2.0,1.5,1.0,0.0,1.0,0.5,1.0,10.0,11.0,10.5,1.0,10.0,11.0,10.5,1.0,5.0,6.0,5.5,1.0,0.0,0.0,0.0,0.0,1.5677001295699908,0.7463267372774147,6.627861007727512,0.8213733922925762,12,11,0.4444444444444444,0.39285714285714285
1,25,759,7637054,8626595,C=C1CC2CC1CN2C1=NC(N2CCOC(C3=CC=C(C)S3)C2)=NC(NC)=N1,CC1=CC(C(=O)N(CC2=C3C=CN(C)C3=CC=C2)C[C@@H]2CCCC[C@H]2O)=CC=N1,C=C1CC2CC1CN2c1nc(NC)nc(N2CCOC(c3ccc(C)s3)C2)n1,Cc1cc(C(=O)N(Cc2cccc3c2ccn3C)C[C@@H]2CCCC[C@H]2O)ccn1,28,32,29,32,46.802723,3.370679,11,10,11,10,1,0,0,1,0,28.0,32.0,4.0,8.0,20.0,0.7142857142857143,0.2857142857142857,1.0,3.0159200000000013,66.41000000000001,5.0,2.0,3.0,24.0,25.0,6.0,3.0,29.0,32.0,5.0,5.0,24.0,0.8275862068965517,0.1724137931034483,1.0,4.0752200000000025,58.36,4.0,3.0,1.0,21.0,22.0,6.0,2.0,28.0,29.0,28.5,1.0,32.0,32.0,32.0,0.0,4.0,5.0,4.5,1.0,5.0,8.0,6.5,3.0,20.0,24.0,22.0,4.0,0.7142857142857143,0.8275862068965517,0.770935960591133,0.11330049261083741,0.1724137931034483,0.2857142857142857,0.229064039408867,0.11330049261083741,1.0,1.0,1.0,0.0,3.0159200000000013,4.0752200000000025,3.545570000000002,1.0593000000000012,58.36,66.41000000000001,62.385000000000005,8.050000000000011,4.0,5.0,4.5,1.0,2.0,3.0,2.5,1.0,1.0,3.0,2.0,2.0,21.0,24.0,22.5,3.0,22.0,25.0,23.5,3.0,6.0,6.0,6.0,0.0,2.0,3.0,2.5,1.0,1.6702711212252344,0.5277173953074955,13.885250716547022,1.142553725917739,11,10,0.39285714285714285,0.3125
2,281,250,7360629,970568,CCC1=NC(C)=C(C(=O)N2CCN(C(=O)C=CC3=CSC=C3)CC23CCC3)O1,CC1=CC=C(F)C=C1NC(=O)CC(C1=CC=CC=C1)C(C)C,CCc1nc(C)c(C(=O)N2CCN(C(=O)C=Cc3ccsc3)CC23CCC3)o1,Cc1ccc(F)cc1NC(=O)CC(c1ccccc1)C(C)C,28,31,22,23,47.173111,2.487237,11,10,11,10,1,0,0,1,0,28.0,31.0,4.0,7.0,21.0,0.75,0.25,2.0,3.527420000000003,66.65,4.0,2.0,2.0,19.0,20.0,6.0,1.0,22.0,23.0,5.0,3.0,19.0,0.8636363636363636,0.13636363636363635,5.0,4.9025200000000035,29.1,2.0,2.0,0.0,12.0,12.0,6.0,0.0,22.0,28.0,25.0,6.0,23.0,31.0,27.0,8.0,4.0,5.0,4.5,1.0,3.0,7.0,5.0,4.0,19.0,21.0,20.0,2.0,0.75,0.8636363636363636,0.8068181818181819,0.11363636363636365,0.13636363636363635,0.25,0.19318181818181818,0.11363636363636365,2.0,5.0,3.5,3.0,3.527420000000003,4.9025200000000035,4.214970000000003,1.3751000000000007,29.1,66.65,47.875,37.550000000000004,2.0,4.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,12.0,19.0,15.5,7.0,12.0,20.0,16.0,8.0,6.0,6.0,6.0,0.0,0.0,1.0,0.5,1.0,1.6736945182974503,0.39571716962387365,18.966069980464265,1.2779773486735766,11,10,0.5,0.43478260869565216
3,228,142,4759077,3301945,CON=CC(=O)N1CCC(OCCNC(=O)[C@H]2CCC[C@H]2C(=O)OC)C1,CC1=C(C(=O)N2CC(C)(C)C[C@H]2C(=O)NCC(C)OCCO)N=CO1,CON=CC(=O)N1CCC(OCCNC(=O)[C@H]2CCC[C@H]2C(=O)OC)C1,Cc1ocnc1C(=O)N1CC(C)(C)C[C@H]1C(=O)NCC(C)OCCO,26,27,25,26,27.384075,3.697939,12,11,12,11,1,0,0,1,0,26.0,27.0,8.0,9.0,17.0,0.6538461538461539,0.34615384615384615,2.0,-0.05839999999999779,106.52999999999999,2.0,0.0,2.0,10.0,10.0,5.0,0.0,25.0,26.0,7.0,8.0,17.0,0.68,0.32,3.0,0.7373200000000002,104.9,2.0,1.0,1.0,10.0,10.0,5.0,0.0,25.0,26.0,25.5,1.0,26.0,27.0,26.5,1.0,7.0,8.0,7.5,1.0,8.0,9.0,8.5,1.0,17.0,17.0,17.0,0.0,0.6538461538461539,0.68,0.666923076923077,0.026153846153846194,0.32,0.34615384615384615,0.33307692307692305,0.02615384615384614,2.0,3.0,2.5,1.0,-0.05839999999999779,0.7373200000000002,0.3394600000000012,0.795719999999998,104.9,106.52999999999999,105.715,1.6299999999999812,2.0,2.0,2.0,0.0,0.0,1.0,0.5,1.0,1.0,2.0,1.5,1.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.437498075585033,0.567959742901603,7.405226262520826,0.8695383326834301,12,11,0.48,0.4230769230769231
4,754,104,9496029,6937058,CC1=NC(NC[C@]23CCC[C@H]2CN(C(=O)[C@@H](CCC(N)=O)N(C)C)C3)=C2C=NNC2=N1,CC1=CN=C(O)C(NC(=O)C2CCN(C(=O)C(F)C3(O)CCCC3)CCO2)=C1,Cc1nc(NC[C@]23CCC[C@H]2CN(C(=O)[C@@H](CCC(N)=O)N(C)C)C3)c2cn[nH]c2n1,Cc1cnc(O)c(NC(=O)C2CCN(C(=O)C(F)C3(O)CCCC3)CCO2)c1,31,34,28,30,77.457542,3.823375,16,15,16,15,1,0,0,1,0,31.0,34.0,8.0,10.0,21.0,0.6774193548387096,0.3225806451612903,5.0,0.8976200000000019,133.13,4.0,2.0,2.0,17.0,19.0,6.0,4.0,28.0,30.0,4.0,9.0,19.0,0.6785714285714286,0.32142857142857145,2.0,1.2948199999999994,111.99000000000001,3.0,1.0,2.0,18.0,18.0,7.0,0.0,28.0,31.0,29.5,3.0,30.0,34.0,32.0,4.0,4.0,8.0,6.0,4.0,9.0,10.0,9.5,1.0,19.0,21.0,20.0,2.0,0.6774193548387096,0.6785714285714286,0.6779953917050692,0.0011520737327189723,0.32142857142857145,0.3225806451612903,0.3220046082949309,0.0011520737327188613,2.0,5.0,3.5,3.0,0.8976200000000019,1.2948199999999994,1.0962200000000006,0.39719999999999756,111.99000000000001,133.13,122.56,21.139999999999986,3.0,4.0,3.5,1.0,1.0,2.0,1.5,1.0,2.0,2.0,2.0,0.0,17.0,18.0,17.5,1.0,18.0,19.0,18.5,1.0,6.0,7.0,6.5,1.0,0.0,4.0,2.0,4.0,1.889063711178672,0.5824468960948076,20.258944518913264,1.3066168150838642,16,15,0.5714285714285714,0.5
5,692,758,2627573,9782512,NC1=CC=C(C(=O)N2C[C@@H]3CN(C(=O)C4=NSC=C4)C[C@@H]3C2)C=N1,CCCN1CCCCC1C(=O)N1CC2(CN(C(=O)C3=CC(N(C)C)=CC=N3)CC2CO)C1,Nc1ccc(C(=O)N2C[C@@H]3CN(C(=O)c4ccsn4)C[C@@H]3C2)cn1,CCCN1CCCCC1C(=O)N1CC2(CN(C(=O)c3cc(N(C)C)ccn3)CC2CO)C1,24,27,32,35,304.417267,5.707219,20,20,20,20,1,0,0,1,0,24.0,27.0,2.0,8.0,16.0,0.6666666666666666,0.3333333333333333,1.0,0.9645000000000001,92.42000000000002,4.0,2.0,2.0,19.0,20.0,6.0,2.0,32.0,35.0,6.0,8.0,24.0,0.75,0.25,3.0,1.3050000000000006,80.22000000000001,4.0,1.0,3.0,20.0,21.0,6.0,1.0,24.0,32.0,28.0,8.0,27.0,35.0,31.0,8.0,2.0,6.0,4.0,4.0,8.0,8.0,8.0,0.0,16.0,24.0,20.0,8.0,0.6666666666666666,0.75,0.7083333333333333,0.08333333333333337,0.25,0.3333333333333333,0.29166666666666663,0.08333333333333331,1.0,3.0,2.0,2.0,0.9645000000000001,1.3050000000000006,1.1347500000000004,0.34050000000000047,80.22000000000001,92.42000000000002,86.32000000000002,12.200000000000003,4.0,4.0,4.0,0.0,1.0,2.0,1.5,1.0,2.0,3.0,2.5,1.0,19.0,20.0,19.5,1.0,20.0,21.0,20.5,1.0,6.0,6.0,6.0,0.0,1.0,2.0,1.5,1.0,2.4834692826259297,0.7564245378138438,53.338984713921086,1.7270447448120858,20,20,0.8333333333333334,0.7407407407407407
6,913,558,9854679,2672686,CCC(C)(CC1=CN(C2CCCCNC2=O)N=N1)C(=O)N1CCC(C)=C(C2=CC=CO2)C1,O=C1CC(C(=O)NC/C=C\CNC(=O)[C@H]2C[C@@H]2C2CCCO2)=NN1,CCC(C)(Cc1cn(C2CCCCNC2=O)nn1)C(=O)N1CCC(C)=C(c2ccco2)C1,O=C1CC(C(=O)NC/C=C\CNC(=O)[C@H]2C[C@@H]2C2CCCO2)=NN1,32,35,24,26,44.389797,2.047961,12,11,12,11,1,0,0,1,0,32.0,35.0,6.0,8.0,24.0,0.75,0.25,4.0,3.377100000000002,93.25999999999999,4.0,2.0,2.0,23.0,23.0,7.0,0.0,24.0,26.0,7.0,8.0,16.0,0.6666666666666666,0.3333333333333333,2.0,-0.5339999999999987,108.89000000000001,3.0,0.0,3.0,13.0,13.0,5.0,0.0,24.0,32.0,28.0,8.0,26.0,35.0,30.5,9.0,6.0,7.0,6.5,1.0,8.0,8.0,8.0,0.0,16.0,24.0,20.0,8.0,0.6666666666666666,0.75,0.7083333333333333,0.08333333333333337,0.25,0.3333333333333333,0.29166666666666663,0.08333333333333331,2.0,4.0,3.0,2.0,-0.5339999999999987,3.377100000000002,1.4215500000000016,3.911100000000001,93.25999999999999,108.89000000000001,101.075,15.630000000000024,3.0,4.0,3.5,1.0,0.0,2.0,1.0,2.0,2.0,3.0,2.5,1.0,13.0,23.0,18.0,10.0,13.0,23.0,18.0,10.0,5.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,1.6472831589478398,0.31132168196879983,21.675118325007166,1.33596147697904,12,11,0.5,0.4230769230769231
7,89,604,164641,2155819,CCOCC[C@@H](C)NCC1=CNC(C(=O)OC)=C1,CCOC1=CC=C(S(=O)(=O)N2CC(C(=O)OC)CC2(C)C)C=C1Cl,CCOCC[C@@H](C)NCc1c[nH]c(C(=O)OC)c1,CCOc1ccc(S(=O)(=O)N2CC(C(=O)OC)CC2(C)C)cc1Cl,18,18,24,25,8.206499,1.53656,9,8,9,8,1,0,0,1,0,18.0,18.0,8.0,5.0,13.0,0.7222222222222222,0.2777777777777778,4.0,1.7059999999999995,63.349999999999994,1.0,1.0,0.0,5.0,5.0,5.0,0.0,24.0,25.0,5.0,8.0,16.0,0.6666666666666666,0.3333333333333333,2.0,2.7009000000000007,72.91000000000001,2.0,1.0,1.0,11.0,11.0,6.0,0.0,18.0,24.0,21.0,6.0,18.0,25.0,21.5,7.0,5.0,8.0,6.5,3.0,5.0,8.0,6.5,3.0,13.0,16.0,14.5,3.0,0.6666666666666666,0.7222222222222222,0.6944444444444444,0.05555555555555558,0.2777777777777778,0.3333333333333333,0.3055555555555556,0.055555555555555525,2.0,4.0,3.0,2.0,1.7059999999999995,2.7009000000000007,2.20345,0.9949000000000012,63.349999999999994,72.91000000000001,68.13,9.560000000000016,1.0,2.0,1.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,5.0,11.0,8.0,6.0,5.0,11.0,8.0,6.0,5.0,6.0,5.5,1.0,0.0,0.0,0.0,0.0,0.914157920912355,0.1865495233689373,5.340825610454522,0.7276083975434177,9,8,0.5,0.4444444444444444
8,432,32,4727751,2646999,CN(C[C@@H]1C[C@H](F)CN1C(=O)[C@H]1CCCN1C)C(=O)CCCC(F)(F)F,NC(=O)C[C@@H](O)C(=O)NC1COCCN(C(=O)C2=CC=CC=C2)C1,CN(C[C@@H]1C[C@H](F)CN1C(=O)[C@H]1CCCN1C)C(=O)CCCC(F)(F)F,NC(=O)C[C@@H](O)C(=O)NC1COCCN(C(=O)c2ccccc2)C1,26,27,24,25,73.842278,3.927172,17,16,17,16,1,0,0,1,0,26.0,27.0,6.0,9.0,17.0,0.6538461538461539,0.34615384615384615,5.0,2.2105999999999995,43.86,2.0,0.0,2.0,10.0,10.0,5.0,0.0,24.0,25.0,5.0,8.0,16.0,0.6666666666666666,0.3333333333333333,4.0,-1.1198999999999977,121.96000000000001,2.0,1.0,1.0,13.0,13.0,7.0,0.0,24.0,26.0,25.0,2.0,25.0,27.0,26.0,2.0,5.0,6.0,5.5,1.0,8.0,9.0,8.5,1.0,16.0,17.0,16.5,1.0,0.6538461538461539,0.6666666666666666,0.6602564102564102,0.012820512820512775,0.3333333333333333,0.34615384615384615,0.33974358974358976,0.01282051282051283,4.0,5.0,4.5,1.0,-1.1198999999999977,2.2105999999999995,0.5453500000000009,3.330499999999997,43.86,121.96000000000001,82.91,78.10000000000001,2.0,2.0,2.0,0.0,0.0,1.0,0.5,1.0,1.0,2.0,1.5,1.0,10.0,13.0,11.5,3.0,10.0,13.0,11.5,3.0,5.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,1.8683050860076924,0.5940799226646274,18.80291415807609,1.2742251633430648,17,16,0.7083333333333334,0.64
9,30,95,9383559,9309198,CC(C)(C)OC(=O)NC1(C2CCC(C(=O)O)N(CC3=CC(C#N)=CC=C3Br)C2)CCC1,COC1=CC=C(CC2CCN(C(=O)C3=CC=C(N4C=NC5=CC=CC=C54)C=C3)C2)C=C1,CC(C)(C)OC(=O)NC1(C2CCC(C(=O)O)N(Cc3cc(C#N)ccc3Br)C2)CCC1,COc1ccc(CC2CCN(C(=O)c3ccc(-n4cnc5ccccc54)cc3)C2)cc1,31,33,31,35,300.491364,7.146929,19,18,19,18,1,0,0,1,0,31.0,33.0,5.0,8.0,23.0,0.7419354838709677,0.25806451612903225,3.0,4.433380000000003,102.66,3.0,1.0,2.0,16.0,16.0,6.0,0.0,31.0,35.0,5.0,5.0,26.0,0.8387096774193549,0.16129032258064516,1.0,4.7389000000000046,47.36,5.0,4.0,1.0,26.0,27.0,6.0,2.0,31.0,31.0,31.0,0.0,33.0,35.0,34.0,2.0,5.0,5.0,5.0,0.0,5.0,8.0,6.5,3.0,23.0,26.0,24.5,3.0,0.7419354838709677,0.8387096774193549,0.7903225806451613,0.09677419354838712,0.16129032258064516,0.25806451612903225,0.2096774193548387,0.0967741935483871,1.0,3.0,2.0,2.0,4.433380000000003,4.7389000000000046,4.586140000000004,0.30552000000000135,47.36,102.66,75.00999999999999,55.3,3.0,5.0,4.0,2.0,1.0,4.0,2.5,3.0,1.0,2.0,1.5,1.0,16.0,26.0,21.0,10.0,16.0,27.0,21.5,11.0,6.0,6.0,6.0,0.0,0.0,2.0,1.0,2.0,2.477831995070738,0.85411946769493,42.044822888264314,1.6237125273758082,19,18,0.6129032258064516,0.5454545454545454
10,223,238,4544882,5416414,CC(=O)OCC1CN(C(=O)[C@@H]2[C@@H](C)OCCN2C(=O)CC2=NOC=C2)C1,CC1=CC=C(CN2CCCC2)C=C1NC(=O)C(=O)NCC1=CN=CC=C1O,CC(=O)OCC1CN(C(=O)[C@@H]2[C@@H](C)OCCN2C(=O)Cc2ccon2)C1,Cc1ccc(CN2CCCC2)cc1NC(=O)C(=O)NCc1cnccc1O,26,28,27,29,52.48682,3.69256,15,14,15,14,1,0,0,1,0,26.0,28.0,5.0,9.0,17.0,0.6538461538461539,0.34615384615384615,2.0,-0.1454999999999984,102.18,3.0,1.0,2.0,15.0,15.0,6.0,0.0,27.0,29.0,5.0,7.0,20.0,0.7407407407407407,0.25925925925925924,2.0,1.9463199999999996,94.56000000000002,3.0,2.0,1.0,17.0,17.0,6.0,0.0,26.0,27.0,26.5,1.0,28.0,29.0,28.5,1.0,5.0,5.0,5.0,0.0,7.0,9.0,8.0,2.0,17.0,20.0,18.5,3.0,0.6538461538461539,0.7407407407407407,0.6972934472934473,0.08689458689458684,0.25925925925925924,0.34615384615384615,0.30270655270655267,0.0868945868945869,2.0,2.0,2.0,0.0,-0.1454999999999984,1.9463199999999996,0.9004100000000006,2.091819999999998,94.56000000000002,102.18,98.37,7.61999999999999,3.0,3.0,3.0,0.0,1.0,2.0,1.5,1.0,1.0,2.0,1.5,1.0,15.0,17.0,16.0,2.0,15.0,17.0,16.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.7200502611223338,0.5673275608444364,14.214209112377322,1.1527227002778977,15,14,0.5769230769230769,0.5
11,517,616,8356445,7793318,CC1=C(C)C(C(=O)N2CCCN(C(=O)C3=CN=C4N=CC=CC4=C3)C[C@@H]2C)=CS1,CCC1=CC=CC(CCN(CC2=NC=C(OC)N=C2)CC2=NN=C(CC)N2)=C1,Cc1scc(C(=O)N2CCCN(C(=O)c3cnc4ncccc4c3)C[C@@H]2C)c1C,CCc1cccc(CCN(Cc2cnc(OC)cn2)Cc2nnc(CC)[nH]2)c1,29,32,28,30,105.679642,4.985779,17,16,17,16,1,0,0,1,0,29.0,32.0,2.0,7.0,22.0,0.7586206896551724,0.2413793103448276,1.0,3.6849400000000028,66.4,4.0,3.0,1.0,22.0,23.0,7.0,2.0,28.0,30.0,10.0,7.0,21.0,0.75,0.25,2.0,2.9730000000000008,79.82,3.0,3.0,0.0,17.0,17.0,6.0,0.0,28.0,29.0,28.5,1.0,30.0,32.0,31.0,2.0,2.0,10.0,6.0,8.0,7.0,7.0,7.0,0.0,21.0,22.0,21.5,1.0,0.75,0.7586206896551724,0.7543103448275862,0.008620689655172376,0.2413793103448276,0.25,0.2456896551724138,0.008620689655172403,1.0,2.0,1.5,1.0,2.9730000000000008,3.6849400000000028,3.3289700000000018,0.711940000000002,66.4,79.82,73.11,13.419999999999987,3.0,4.0,3.5,1.0,3.0,3.0,3.0,0.0,0.0,1.0,0.5,1.0,17.0,22.0,19.5,5.0,17.0,23.0,20.0,6.0,6.0,7.0,6.5,1.0,0.0,2.0,1.0,2.0,2.0239913333944357,0.6977330240258258,21.196214673775152,1.32625830936861,17,16,0.6071428571428571,0.5333333333333333
12,27,574,6857256,5611587,CC(=O)N[C@@H](C(=O)N1CCC(C(=O)NC2CCN3N=NN=C3C2)CC1)C(C)C,CCC1=C(C(=O)N2CC3(C(=O)NCCC4=CSC=C4)CC2CCO3)N=CO1,CC(=O)N[C@@H](C(=O)N1CCC(C(=O)NC2CCn3nnnc3C2)CC1)C(C)C,CCc1ocnc1C(=O)N1CC2(C(=O)NCCc3ccsc3)CC1CCO2,28,30,27,30,506.287048,33.365072,18,17,18,17,1,0,0,1,0,28.0,30.0,5.0,10.0,18.0,0.6428571428571429,0.35714285714285715,4.0,-0.4965999999999975,122.11,3.0,1.0,2.0,15.0,16.0,6.0,2.0,27.0,30.0,6.0,8.0,19.0,0.7037037037037037,0.2962962962962963,2.0,2.0309999999999997,84.67,4.0,2.0,2.0,18.0,19.0,6.0,3.0,27.0,28.0,27.5,1.0,30.0,30.0,30.0,0.0,5.0,6.0,5.5,1.0,8.0,10.0,9.0,2.0,18.0,19.0,18.5,1.0,0.6428571428571429,0.7037037037037037,0.6732804232804233,0.060846560846560815,0.2962962962962963,0.35714285714285715,0.32671957671957674,0.06084656084656087,2.0,4.0,3.0,2.0,-0.4965999999999975,2.0309999999999997,0.7672000000000011,2.527599999999997,84.67,122.11,103.39,37.44,3.0,4.0,3.5,1.0,1.0,2.0,1.5,1.0,2.0,2.0,2.0,0.0,15.0,18.0,16.5,3.0,16.0,19.0,17.5,3.0,6.0,6.0,6.0,0.0,2.0,3.0,2.5,1.0,2.7043968172662027,1.5232920663715332,15.17416320875915,1.1811047508946697,18,17,0.6666666666666666,0.5666666666666667
13,203,733,5641571,5747447,C=CCC(CNC(=O)CCC1=NN(C)C=C1)C(=O)N1CCC2(CCCC2)C1,CC1=NON=C1CC(=O)N1C[C@H]2CCC[C@H]2[C@H]1C(=O)N(C)[C@@H]1CCC[C@H]1O,C=CCC(CNC(=O)CCc1ccn(C)n1)C(=O)N1CCC2(CCCC2)C1,Cc1nonc1CC(=O)N1C[C@H]2CCC[C@H]2[C@H]1C(=O)N(C)[C@@H]1CCC[C@H]1O,27,29,27,30,54.006065,2.108796,14,14,14,14,1,0,0,1,0,27.0,29.0,8.0,6.0,21.0,0.7777777777777778,0.2222222222222222,4.0,2.4539,67.23,3.0,1.0,2.0,14.0,15.0,5.0,1.0,27.0,30.0,4.0,8.0,19.0,0.7037037037037037,0.2962962962962963,2.0,0.9194199999999997,99.77000000000001,4.0,1.0,3.0,18.0,19.0,5.0,2.0,27.0,27.0,27.0,0.0,29.0,30.0,29.5,1.0,4.0,8.0,6.0,4.0,6.0,8.0,7.0,2.0,19.0,21.0,20.0,2.0,0.7037037037037037,0.7777777777777778,0.7407407407407407,0.07407407407407407,0.2222222222222222,0.2962962962962963,0.25925925925925924,0.07407407407407407,2.0,4.0,3.0,2.0,0.9194199999999997,2.4539,1.6866599999999998,1.5344800000000003,67.23,99.77000000000001,83.5,32.540000000000006,3.0,4.0,3.5,1.0,1.0,1.0,1.0,0.0,2.0,3.0,2.5,1.0,14.0,18.0,16.0,4.0,15.0,19.0,17.0,4.0,5.0,5.0,5.0,0.0,1.0,2.0,1.5,1.0,1.7324425347882542,0.3240345691375619,25.609904893598053,1.4084079656506923,14,14,0.5185185185185185,0.4827586206896552
14,665,718,7440053,1002008,O=C(CC1=CC=CC=C1OC1CCCC1)OC/C=C/C1=CC=C2OCOC2=C1,CC1=NN=C(CNC(=O)C2=C(C)C(C)(C)OC2=O)N1C1CC1,O=C(Cc1ccccc1OC1CCCC1)OC/C=C/c1ccc2c(c1)OCO2,CC1=C(C(=O)NCc2nnc(C)n2C2CC2)C(=O)OC1(C)C,28,31,22,24,7.695634,0.500685,8,7,8,7,1,0,0,1,0,28.0,31.0,7.0,5.0,23.0,0.8214285714285714,0.17857142857142858,2.0,4.535800000000004,53.99000000000001,4.0,2.0,2.0,20.0,21.0,6.0,2.0,22.0,24.0,4.0,7.0,15.0,0.6818181818181818,0.3181818181818182,1.0,1.1895199999999997,86.11,3.0,1.0,2.0,13.0,13.0,5.0,0.0,22.0,28.0,25.0,6.0,24.0,31.0,27.5,7.0,4.0,7.0,5.5,3.0,5.0,7.0,6.0,2.0,15.0,23.0,19.0,8.0,0.6818181818181818,0.8214285714285714,0.7516233766233766,0.13961038961038963,0.17857142857142858,0.3181818181818182,0.24837662337662336,0.1396103896103896,1.0,2.0,1.5,1.0,1.1895199999999997,4.535800000000004,2.8626600000000018,3.3462800000000037,53.99000000000001,86.11,70.05000000000001,32.11999999999999,3.0,4.0,3.5,1.0,1.0,2.0,1.5,1.0,2.0,2.0,2.0,0.0,13.0,20.0,16.5,7.0,13.0,21.0,17.0,8.0,5.0,6.0,5.5,1.0,0.0,2.0,1.0,2.0,0.8862444047210059,-0.30043541941557084,15.37021081118867,1.1866798241365766,8,7,0.36363636363636365,0.2916666666666667
